Date,Open,High,Low,Close,Volume
2026-05-04 08:50:00,1461.1,1462.2,1460.5,1461.3,104126
2026-05-04 08:55:00,1461.2,1461.9,1460.0,1461.8,329049
2026-05-04 09:00:00,1461.9,1462.7,1461.0,1461.6,432087
2026-05-04 09:05:00,1461.6,1463.1,1461.5,1463.0,260268
2026-05-04 09:10:00,1462.5,1462.9,1457.8,1459.3,456181
2026-05-04 09:15:00,1459.1,1459.9,1457.7,1459.0,553776
2026-05-04 09:20:00,1459.1,1459.9,1457.8,1459.8,277691
2026-05-04 09:25:00,1459.5,1461.9,1459.1,1459.5,307967
2026-05-04 09:30:00,1459.4,1462.1,1459.2,1461.3,479494
2026-05-04 09:35:00,1461.3,1463.5,1460.5,1462.1,538783
2026-05-04 09:40:00,1462.3,1462.4,1460.0,1461.2,340528
2026-05-04 09:45:00,1461.4,1462.7,1461.1,1462.2,730813
2026-05-04 09:50:00,1462.3,1465.5,1462.3,1465.1,868413
2026-05-04 09:55:00,1465.0,1467.4,1464.0,1467.0,743833
2026-05-05 03:45:00,1460.0,1469.3,1455.0,1466.5,1040502
2026-05-05 03:50:00,1466.9,1467.5,1463.5,1465.2,392852
2026-05-05 03:55:00,1465.4,1467.5,1464.0,1467.0,346051
2026-05-05 04:00:00,1467.0,1470.8,1465.0,1470.8,212958
2026-05-05 04:05:00,1470.6,1473.4,1468.4,1468.4,314282
2026-05-05 04:10:00,1468.4,1469.0,1466.7,1467.3,208194
2026-05-05 04:15:00,1467.6,1468.9,1466.6,1467.2,154377
2026-05-05 04:20:00,1467.2,1469.0,1465.8,1466.8,204885
2026-05-05 04:25:00,1466.7,1467.6,1465.0,1467.5,247141
2026-05-05 04:30:00,1467.4,1469.1,1465.6,1466.7,205625
2026-05-05 04:35:00,1466.4,1467.5,1465.3,1465.4,259380
2026-05-05 04:40:00,1465.1,1466.7,1464.0,1465.7,293371
2026-05-05 04:45:00,1465.7,1465.9,1462.0,1462.6,192636
2026-05-05 04:50:00,1462.5,1462.9,1458.2,1459.0,410395
2026-05-05 04:55:00,1459.0,1459.1,1454.0,1455.6,351157
2026-05-05 05:00:00,1455.1,1456.1,1451.6,1452.5,336952
2026-05-05 05:05:00,1452.5,1454.3,1451.0,1452.7,254935
2026-05-05 05:10:00,1452.5,1455.0,1452.5,1454.5,301342
2026-05-05 05:15:00,1454.6,1457.0,1453.0,1457.0,231168
2026-05-05 05:20:00,1457.0,1457.9,1455.0,1455.9,113455
2026-05-05 05:25:00,1455.8,1456.5,1452.8,1453.2,146605
2026-05-05 05:30:00,1452.8,1456.0,1452.2,1455.5,327366
2026-05-05 05:35:00,1455.0,1455.5,1453.1,1453.8,292444
2026-05-05 05:40:00,1453.3,1454.0,1452.1,1452.9,207220
2026-05-05 05:45:00,1452.9,1453.0,1450.0,1450.5,232989
2026-05-05 05:50:00,1450.5,1453.0,1450.1,1452.8,105293
2026-05-05 05:55:00,1452.8,1453.2,1451.1,1452.0,108877
2026-05-05 06:00:00,1451.7,1455.9,1451.5,1455.0,155330
2026-05-05 06:05:00,1454.7,1456.8,1454.0,1454.6,131574
2026-05-05 06:10:00,1454.8,1455.9,1453.4,1455.2,152949
2026-05-05 06:15:00,1454.6,1456.1,1454.0,1454.6,111577
2026-05-05 06:20:00,1454.6,1455.6,1453.7,1453.9,267685
2026-05-05 06:25:00,1454.0,1454.8,1453.2,1454.1,187457
2026-05-05 06:30:00,1454.4,1455.7,1454.0,1454.1,519878
2026-05-05 06:35:00,1454.1,1457.9,1453.8,1457.9,448091
2026-05-05 06:40:00,1457.7,1460.9,1457.3,1460.1,218435
2026-05-05 06:45:00,1460.2,1461.4,1458.1,1461.0,206847
2026-05-05 06:50:00,1461.3,1462.9,1460.5,1462.4,250463
2026-05-05 06:55:00,1462.1,1462.6,1460.0,1460.1,254442
2026-05-05 07:00:00,1460.1,1461.8,1459.3,1461.3,319743
2026-05-05 07:05:00,1461.0,1462.0,1459.3,1459.3,286851
2026-05-05 07:10:00,1459.8,1461.4,1458.9,1460.3,398955
2026-05-05 07:15:00,1459.5,1464.8,1459.5,1464.4,281663
2026-05-05 07:20:00,1464.3,1465.7,1464.1,1464.5,212349
2026-05-05 07:25:00,1464.5,1465.7,1463.6,1465.3,217413
2026-05-05 07:30:00,1465.3,1466.2,1464.4,1464.8,270411
2026-05-05 07:35:00,1464.9,1467.1,1464.4,1466.4,281417
2026-05-05 07:40:00,1466.4,1467.2,1465.3,1466.4,559677
2026-05-05 07:45:00,1465.9,1466.8,1462.0,1462.6,608505
2026-05-05 07:50:00,1462.3,1466.1,1461.5,1464.3,437279
2026-05-05 07:55:00,1463.9,1465.0,1462.5,1464.9,322647
2026-05-05 08:00:00,1464.5,1465.0,1461.5,1462.1,352339
2026-05-05 08:05:00,1461.6,1464.2,1461.5,1462.3,202641
2026-05-05 08:10:00,1462.0,1463.8,1461.1,1462.4,380374
2026-05-05 08:15:00,1463.0,1463.9,1461.1,1462.0,160359
2026-05-05 08:20:00,1462.0,1462.5,1458.4,1460.4,292286
2026-05-05 08:25:00,1460.5,1464.6,1459.9,1463.1,493385
2026-05-05 08:30:00,1462.4,1464.3,1459.2,1460.6,283064
2026-05-05 08:35:00,1461.1,1461.5,1459.3,1460.4,100112
2026-05-05 08:40:00,1460.4,1461.0,1459.1,1460.4,138806
2026-05-05 08:45:00,1460.2,1462.0,1459.2,1461.4,341524
2026-05-05 08:50:00,1461.9,1463.2,1460.5,1460.6,293063
2026-05-05 08:55:00,1460.9,1462.8,1460.2,1462.4,168065
2026-05-05 09:00:00,1462.5,1462.5,1459.1,1460.0,213877
2026-05-05 09:05:00,1460.0,1462.9,1459.4,1460.9,591960
2026-05-05 09:10:00,1461.3,1462.0,1460.0,1461.5,139956
2026-05-05 09:15:00,1461.5,1461.9,1460.0,1460.3,177626
2026-05-05 09:20:00,1460.3,1461.9,1459.1,1460.5,321906
2026-05-05 09:25:00,1460.5,1461.6,1459.9,1460.3,214886
2026-05-05 09:30:00,1459.8,1464.1,1459.8,1463.0,716507
2026-05-05 09:35:00,1462.8,1464.9,1460.7,1464.3,1476748
2026-05-05 09:40:00,1464.3,1464.7,1462.3,1464.4,657086
2026-05-05 09:45:00,1464.5,1464.8,1463.1,1464.2,195350
2026-05-05 09:50:00,1464.0,1465.1,1462.6,1464.3,484831
2026-05-05 09:55:00,1464.2,1467.1,1460.3,1462.5,500150
2026-05-06 03:45:00,1463.0,1473.3,1463.0,1469.3,647416
2026-05-06 03:50:00,1469.3,1471.3,1468.0,1469.0,147782
2026-05-06 03:55:00,1468.5,1469.0,1465.0,1465.8,133355
2026-05-06 04:00:00,1465.9,1467.2,1465.0,1465.1,85611
2026-05-06 04:05:00,1465.0,1465.9,1463.4,1464.2,89940
2026-05-06 04:10:00,1464.1,1464.8,1463.0,1463.3,96679
2026-05-06 04:15:00,1463.7,1465.5,1463.1,1463.1,79092
2026-05-06 04:20:00,1463.4,1465.0,1460.9,1464.4,233544
2026-05-06 04:25:00,1464.5,1465.5,1461.7,1461.8,123142
2026-05-06 04:30:00,1461.8,1461.8,1456.1,1457.5,206479
2026-05-06 04:35:00,1457.5,1457.7,1453.2,1455.0,152340
2026-05-06 04:40:00,1455.0,1456.1,1453.0,1455.5,126333
2026-05-06 04:45:00,1455.3,1455.5,1451.9,1454.4,188422
2026-05-06 04:50:00,1454.4,1456.3,1453.4,1453.9,62408
2026-05-06 04:55:00,1453.4,1455.3,1453.3,1453.8,56884
2026-05-06 05:00:00,1454.0,1454.0,1452.0,1452.1,47511
2026-05-06 05:05:00,1451.3,1453.3,1450.0,1452.3,107753
2026-05-06 05:10:00,1452.3,1454.7,1451.7,1454.4,71508
2026-05-06 05:15:00,1454.3,1454.4,1453.1,1453.7,42872
2026-05-06 05:20:00,1453.8,1453.8,1449.0,1450.2,208261
2026-05-06 05:25:00,1450.2,1451.3,1444.0,1445.1,222630
2026-05-06 05:30:00,1445.5,1447.0,1445.0,1446.1,111037
2026-05-06 05:35:00,1446.3,1448.6,1446.0,1448.5,210543
2026-05-06 05:40:00,1448.5,1448.7,1447.1,1447.8,39591
2026-05-06 05:45:00,1448.0,1450.0,1447.5,1448.7,111891
2026-05-06 05:50:00,1448.6,1450.5,1447.9,1448.8,72546
2026-05-06 05:55:00,1448.8,1450.0,1448.5,1450.0,35231
2026-05-06 06:00:00,1450.0,1450.0,1448.3,1448.9,45257
2026-05-06 06:05:00,1448.9,1448.9,1445.5,1445.9,156178
2026-05-06 06:10:00,1446.0,1447.6,1445.5,1447.3,39175
2026-05-06 06:15:00,1447.6,1448.4,1445.5,1447.8,51128
2026-05-06 06:20:00,1447.9,1448.0,1445.5,1447.4,66714
2026-05-06 06:25:00,1447.3,1447.8,1445.3,1445.6,74801
2026-05-06 06:30:00,1445.6,1446.4,1445.3,1446.0,43551
2026-05-06 06:35:00,1446.0,1447.0,1445.1,1446.6,38699
2026-05-06 06:40:00,1446.5,1447.0,1445.7,1446.4,33313
2026-05-06 06:45:00,1446.5,1446.5,1442.1,1443.9,203553
2026-05-06 06:50:00,1443.9,1443.9,1438.5,1441.6,184301
2026-05-06 06:55:00,1441.6,1442.7,1439.6,1440.6,109093
2026-05-06 07:00:00,1440.6,1441.2,1439.4,1439.9,78453
2026-05-06 07:05:00,1440.0,1440.0,1433.7,1435.4,146357
2026-05-06 07:10:00,1435.4,1435.7,1431.2,1432.0,115057
2026-05-06 07:15:00,1432.0,1432.8,1430.1,1432.7,107590
2026-05-06 07:20:00,1432.7,1432.9,1427.5,1429.6,158719
2026-05-06 07:25:00,1429.6,1433.0,1429.0,1432.8,82207
2026-05-06 07:30:00,1432.8,1433.0,1430.9,1431.4,45488
2026-05-06 07:35:00,1431.4,1434.3,1430.8,1434.1,75793
2026-05-06 07:40:00,1434.0,1434.7,1431.4,1433.0,89539
2026-05-06 07:45:00,1433.0,1434.9,1431.3,1434.8,87425
2026-05-06 07:50:00,1434.8,1436.3,1434.1,1434.6,157161
2026-05-06 07:55:00,1434.6,1435.3,1433.1,1433.8,222446
2026-05-06 08:00:00,1433.8,1434.0,1431.5,1432.1,266142
2026-05-06 08:05:00,1431.8,1435.2,1431.5,1433.9,155877
2026-05-06 08:10:00,1433.9,1434.4,1432.3,1433.5,72555
2026-05-06 08:15:00,1433.5,1433.7,1431.5,1432.2,126809
2026-05-06 08:20:00,1432.2,1435.0,1432.0,1433.1,373396
2026-05-06 08:25:00,1433.1,1435.9,1433.0,1434.9,162166
2026-05-06 08:30:00,1434.9,1435.7,1433.3,1434.7,95082
2026-05-06 08:35:00,1434.9,1435.6,1434.5,1435.5,145721
2026-05-06 08:40:00,1435.1,1437.2,1435.0,1436.8,126004
2026-05-06 08:45:00,1436.4,1439.5,1436.2,1438.6,183525
2026-05-06 08:50:00,1439.0,1446.4,1438.6,1445.3,568992
2026-05-06 08:55:00,1445.3,1450.9,1445.0,1450.0,414446
2026-05-06 09:00:00,1450.5,1450.9,1444.5,1448.7,363719
2026-05-06 09:05:00,1448.5,1450.2,1445.0,1445.7,251316
2026-05-06 09:10:00,1445.6,1446.7,1442.9,1445.4,165000
2026-05-06 09:15:00,1445.1,1445.7,1443.4,1444.1,201103
2026-05-06 09:20:00,1444.2,1444.8,1442.1,1442.4,221469
2026-05-06 09:25:00,1442.4,1444.1,1440.7,1442.7,185345
2026-05-06 09:30:00,1442.9,1443.7,1435.9,1438.3,902186
2026-05-06 09:35:00,1438.1,1439.3,1437.0,1438.1,708127
2026-05-06 09:40:00,1438.1,1439.6,1438.0,1438.2,624985
2026-05-06 09:45:00,1438.2,1439.1,1437.2,1437.8,599096
2026-05-06 09:50:00,1437.8,1438.1,1435.9,1436.4,525351
